Antecedente;Consequente;Suporte;Confiança;Lift;Rule Interest;Convicção;Score
GELATINA_ROYAL;CREME_DE_LEITE_NESTLE;0,0128;0,3030;4,2008;0,0098;1,3312;0,2308;6,5840;3,2928;
CREME_DE_LEITE_NESTLE;GELATINA_ROYAL;0,0128;0,1776;4,2008;0,0098;1,1646;0,1354;6,5840;2,7259;
REQPOCOS_DE_CALDAS;COCA_COLA;0,0137;0,4134;2,1294;0,0072;1,3737;0,2192;3,0708;2,8490;
COCA_COLA;REQPOCOS_DE_CALDAS;0,0137;0,0703;2,1294;0,0072;1,0401;0,0373;3,0708;1,5406;
LEITE_MOCA;ATUM_COQUEIRO;0,0155;0,1543;4,3644;0,0119;1,1407;0,1190;8,0721;2,8277;
ATUM_COQUEIRO;LEITE_MOCA;0,0155;0,4374;4,3644;0,0119;1,5994;0,3372;8,0721;4,1475;
DETERGLIMPOL;COCA_COLA;0,0224;0,4083;2,1032;0,0117;1,3619;0,2142;3,1072;3,0309;
COCA_COLA;DETERGLIMPOL;0,0224;0,1153;2,1032;0,0117;1,0683;0,0605;3,1072;1,9140;
BISCNESTLE;BISCNABISCO;0,0248;0,1968;3,3999;0,0175;1,1730;0,1389;6,2303;2,9805;
BISCNABISCO;BISCNESTLE;0,0248;0,4287;3,3999;0,0175;1,5297;0,3026;6,2303;4,0170;
FANTA,GUARANA_ANTARTICA;COCA_COLA;0,0101;0,7527;3,8772;0,0075;3,2581;0,5585;13,2730;5,9628;
COCA_COLA,GUARANA_ANTARTICA;FANTA;0,0101;0,2224;4,3409;0,0078;1,2201;0,1712;6,3560;2,8539;
COCA_COLA,FANTA;GUARANA_ANTARTICA;0,0101;0,3448;4,2930;0,0078;1,4037;0,2645;6,7519;3,4238;
FANTA,LEITE_MOCA;COCA_COLA;0,0111;0,7564;3,8966;0,0083;3,3087;0,5623;13,6145;6,0544;
COCA_COLA,LEITE_MOCA;FANTA;0,0111;0,2534;4,9451;0,0089;1,2707;0,2021;7,7461;3,2424;
COCA_COLA,FANTA;LEITE_MOCA;0,0111;0,3778;3,7696;0,0082;1,4462;0,2776;6,0061;3,4294;
PAPEL_HIGNEVE;DETERGYPE;0,0164;0,2356;3,7409;0,0120;1,2258;0,1726;5,8459;2,9512;
DETERGYPE;PAPEL_HIGNEVE;0,0164;0,2601;3,7409;0,0120;1,2575;0,1905;5,8459;3,0598;
DETERGLIMPOL;BOMBRIL;0,0186;0,3397;5,3979;0,0152;1,4191;0,2767;10,4581;4,1752;
BOMBRIL;DETERGLIMPOL;0,0186;0,2958;5,3979;0,0152;1,3423;0,2410;10,4581;3,9638;
PAPEL_ALUMROCHEDO;ACUCAR_UNIAO;0,0118;0,4066;4,3684;0,0091;1,5283;0,3135;7,4987;3,8352;
ACUCAR_UNIAO;PAPEL_ALUMROCHEDO;0,0118;0,1266;4,3684;0,0091;1,1117;0,0976;7,4987;2,5448;
SPO_OMO;CDSORRISO;0,0115;0,1634;4,5205;0,0090;1,1521;0,1273;7,1777;2,7205;
CDSORRISO;SPO_OMO;0,0115;0,3188;4,5205;0,0090;1,3645;0,2483;7,1777;3,4321;
SABLUX;DETERGYPE;0,0107;0,2500;3,9696;0,0080;1,2494;0,1870;5,7725;2,8775;
DETERGYPE;SABLUX;0,0107;0,1703;3,9696;0,0080;1,1536;0,1274;5,7725;2,5240;
LEITE_MOCA;CDCOLGATE;0,0163;0,1629;4,0028;0,0122;1,1460;0,1222;6,9907;2,7543;
CDCOLGATE;LEITE_MOCA;0,0163;0,4012;4,0028;0,0122;1,5026;0,3010;6,9907;3,8413;
MAIONESE_HELLMANN_S,SPO_OMO;LEITE_MOCA;0,0121;0,6682;6,6663;0,0103;2,7115;0,5679;20,4287;6,5671;
LEITE_MOCA,SPO_OMO;MAIONESE_HELLMANN_S;0,0121;0,4368;6,9251;0,0104;1,6635;0,3737;14,0267;4,9387;
LEITE_MOCA,MAIONESE_HELLMANN_S;SPO_OMO;0,0121;0,4454;6,3158;0,0102;1,6761;0,3749;12,5783;4,7771;
MACRENATA,SAL_CISNE;LEITE_MOCA;0,0103;0,6144;6,1303;0,0086;2,3337;0,5142;15,8234;5,7772;
LEITE_MOCA,SAL_CISNE;MACRENATA;0,0103;0,4043;6,3596;0,0086;1,5721;0,3408;11,7288;4,4595;
LEITE_MOCA,MACRENATA;SAL_CISNE;0,0103;0,4263;6,8686;0,0088;1,6350;0,3643;13,2553;4,7594;
PAPEL_HIGPERSONAL;BISCNESTLE;0,0257;0,3090;2,4504;0,0152;1,2646;0,1829;3,6371;2,9590;
BISCNESTLE;PAPEL_HIGPERSONAL;0,0257;0,2041;2,4504;0,0152;1,1518;0,1208;3,6371;2,5390;
